,month,area_name_en,yhat,yhat_lower,yhat_upper,growth_factor,growth_factor_lower,growth_factor_upper
49,01-10-2025,Al Warsan First,6813.196117,6696.488479,6929.903754,1.020282746,1.002805663,1.037759828
50,01-11-2025,Al Warsan First,6877.251763,6703.048112,7051.455414,1.029875141,1.003787975,1.055962307
51,01-12-2025,Al Warsan First,6934.479502,6717.924931,7151.034072,1.03844505,1.006015793,1.070874308
52,01-01-2026,Al Warsan First,6985.17996,6743.742642,7226.617278,1.046037493,1.00988202,1.082192967
53,01-02-2026,Al Warsan First,7031.901709,6778.869895,7284.933522,1.053034121,1.01514236,1.090925881
54,01-09-2025,Al Yelayiss 2,13958.63194,13263.95183,14653.31204,0.999158939,0.949433734,1.048884144
55,01-10-2025,Al Yelayiss 2,13952.60407,12692.72048,15212.48766,0.998727464,0.908544991,1.088909937
56,01-11-2025,Al Yelayiss 2,13949.5117,12186.05406,15712.96934,0.998506112,0.872277806,1.124734418
57,01-12-2025,Al Yelayiss 2,13947.92528,11740.54792,16155.30263,0.998392556,0.840388475,1.156396637
58,01-01-2026,Al Yelayiss 2,13947.11142,11346.0868,16548.13604,0.9983343,0.812152946,1.184515655
59,01-02-2026,Al Yelayiss 2,13946.6939,10992.59941,16900.7884,0.998304415,0.786850317,1.209758513
60,01-09-2025,Bukadra,26924.64046,25561.06642,28288.21449,0.994599004,0.944228438,1.04496957
61,01-10-2025,Bukadra,26903.53575,25519.19924,28287.87225,0.993819394,0.942681861,1.044956928
62,01-11-2025,Bukadra,26634.51575,25250.17924,28018.85225,0.983881768,0.932744234,1.035019301
63,01-12-2025,Bukadra,26311.70575,24927.36924,27696.04225,0.971957133,0.920819599,1.023094666
64,01-01-2026,Bukadra,25445.09575,24060.75924,26829.43225,0.93994447,0.888806936,0.991082003
65,01-02-2026,Bukadra,26849.83075,25465.49424,28234.16725,0.991835526,0.940697992,1.04297306
66,01-09-2025,Burj Khalifa,20296.4734,20037.28692,20555.65988,0.98478299,0.972207286,0.997358693
67,01-10-2025,Burj Khalifa,20177.70895,19531.62869,20823.78922,0.97902055,0.947672796,1.010368304
68,01-11-2025,Burj Khalifa,20237.09831,19221.62954,21252.56707,0.981902115,0.932631666,1.031172565
69,01-12-2025,Burj Khalifa,20435.58564,19123.33632,21747.83496,0.991532702,0.927862488,1.055202917
70,01-01-2026,Burj Khalifa,20721.13966,19208.19458,22234.08474,1.005387757,0.931979803,1.078795711
